sname,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17
G2401 路德會包美達社區中心,10622,106,396,707,1205,1642,2050,2467,3005,3500,3941,4461,4808,5287,5830,6375
H0101 黃大仙社區中心,12292,134,470,916,1361,1882,2290,2812,3290,3783,4304,4775,5240,5602,6123,6651
H0201 聖公會基德小學,10864,120,312,645,1040,1427,1800,2185,2608,3115,3526,3816,4241,4740,5115,5590
H0301 龍翔官立中學,7292,148,385,385,913,1108,1319,1645,1806,2127,2354,2587,2862,3100,3453,3796
H0401 嗇色園西醫診所,6269,95,265,467,719,1001,1407,1726,1726,2175,2175,2857,2857,3296,3640,3873
H0501 鳳德社區中心,12509,100,359,665,1130,1607,2082,2552,2990,3488,4010,4394,4871,5306,5827,6465
H0601 香港小童群益會賽馬會慈雲山青少年綜合服務中心,6417,85,229,446,690,995,1254,1556,1834,2117,2435,2744,3048,3355,3703,4103
H0602 保良局張麥珍耆樂中心,4160,77,195,339,503,663,847,1093,1288,1497,1685,1885,2124,2343,2602,3026
H0701 可立中學(嗇色園主辦),4602,49,197,350,580,772,928,1098,1281,1455,1639,1833,2022,2223,2423,2627
H0702 嘉諾撒小學 (新蒲崗),6042,79,256,469,699,974,1189,1427,1678,1933,2205,2444,2746,3039,3339,3671
H0801 東頭社區中心,10102,136,437,745,1190,1521,1921,2355,2653,3135,3559,3947,4300,4718,5106,5541
H0901 華德學校,5475,147,265,472,631,796,1072,1161,1315,1492,1705,1898,2054,2244,2454,2657
H1001 摩士公園體育館,10968,108,318,606,988,1364,1690,2030,2394,2850,3265,3692,4084,4499,4932,5379
H1101 香港青年協會賽馬會橫頭磡青年空間,5343,72,202,371,583,802,999,1253,1462,1692,1877,2125,2305,2511,2743,2937
H1102 香港傷殘青年協會賽馬會活動中心,5542,72,185,370,538,779,942,1129,1309,1569,1789,2019,2212,2397,2623,2881
H1201 天主教博智小學,5798,109,299,498,789,1022,1282,1546,1797,2096,2340,2616,2875,3159,3461,3750
H1202 潔心林炳炎中學,3958,45,142,302,453,634,780,956,1118,1298,1480,1702,1840,2054,2246,2535
H1301 嗇色園主辦可德幼稚園,4965,49,155,323,493,643,808,1013,1170,1376,1584,1780,1976,2141,2320,2566
H1302 翠竹商場5樓,7190,96,270,524,796,1103,1347,1645,1938,2203,2452,2751,3024,3339,3682,4058
H1401 竹園社區中心,4689,71,220,434,614,794,942,1104,1264,1432,1600,1752,1913,2109,2246,2393
H1402 浸信會天虹小學,3971,58,127,245,408,562,695,858,994,1144,1326,1481,1625,1788,1935,2114
H1501 竹園體育館,11125,127,376,702,996,1384,1762,2214,2559,2985,3487,3810,4224,4664,5089,5671
H1601 慈雲山(南區)社區中心,11622,172,508,861,1254,1693,2029,2421,2823,3262,3779,4202,4609,5140,5636,6163
H1701 肖霞幼稚園,9965,121,366,751,1115,1513,1888,2300,2658,3036,3480,3903,4300,4741,5257,5805
H1801 慈雲山聖文德天主教小學,12237,176,428,839,1198,1641,2092,2548,3004,3500,3956,4325,4915,5397,5977,6583
H1901 德愛中學,11576,109,294,650,1044,1410,1799,2250,2735,3153,3697,4187,4580,5134,5734,6412
H2001 香港海事青年團,4988,116,284,506,734,1009,1221,1480,1699,1960,2202,2423,2647,2846,3050,3326
H2002 香港遊樂場協會賽馬會瓊富青少年綜合服務中心,7456,94,269,611,854,1164,1579,1579,2194,2361,2648,2994,3229,3638,3852,4404
H2101 保良局陳麗玲(百周年)學校,8643,153,373,664,1012,1404,1805,2161,2509,2856,3239,3653,3966,4360,4742,5193
H2201 香港幼稚園協會幼兒學校,7465,64,239,502,797,1064,1325,1587,1859,2139,2445,2717,2991,3272,3580,3906
H2301 彩雲社區中心,7286,114,331,598,765,1103,1324,1614,1887,2226,2484,2770,3036,3429,3707,4063
H2401 佛教孔仙洲紀念中學,6447,76,269,511,837,1164,1468,1801,2079,2348,2649,2979,3237,3504,3851,4184
H2402 中華基督教會基華小學,3488,79,206,336,479,611,727,867,997,1129,1264,1400,1520,1673,1771,1866
H2501 聖公會聖本德中學,8125,102,310,630,962,1239,1529,1797,2153,2427,2802,3096,3401,3885,4098,4364
J0101 觀塘官立小學,3875,45,127,245,384,520,678,871,1039,1198,1353,1532,1664,1807,1980,2110
J0102 觀塘社區中心,3598,56,146,274,397,527,633,764,872,994,1126,1252,1389,1507,1652,1812
J0201 德福花園社區會堂,7005,81,301,607,895,1258,1548,1874,2204,2536,2903,3307,3660,3971,4387,4910
J0301 啟業社區會堂,6762,155,395,720,1005,1265,1449,1755,1993,2286,2530,2802,3021,3232,3465,3676
J0401 仁濟醫院羅陳楚思中學,10318,113,347,726,1217,1647,2045,2525,2907,3372,3823,4289,4741,5191,5721,6396
J0501 坪石天主教小學,7940,47,262,551,900,1247,1499,1775,2094,2407,2737,3086,3325,3630,3860,4211
J0601 佐敦谷聖若瑟天主教小學,8724,105,328,614,962,1292,1595,1883,2187,2500,2836,3145,3475,3827,4169,4471
J0701 香港基督教服務處樂暉長者地區中心,5471,63,202,379,587,752,914,1147,1310,1496,1678,1880,2079,2294,2533,2819
J0702 天主教彩霞邨潔心幼稚園,4136,58,148,293,434,596,727,872,1025,1184,1333,1506,1648,1783,1937,2107
J0801 寧波第二中學,8591,80,294,580,924,1238,1491,1798,2127,2389,2694,3006,3318,3641,3976,4480
J0901 順利社區中心,6203,89,248,441,717,1005,1216,1442,1715,1913,2218,2422,2674,2907,3182,3450
J0902 中華基督教會基順學校,7446,66,224,461,729,1116,1677,1964,2229,2699,2963,3293,3542,3956,4301,4797
J1001 迦密梁省德學校,7177,96,358,611,890,1177,1369,1595,1850,2187,2471,2678,2937,3185,3409,3657
J1101 秀茂坪天主教小學,11346,159,395,828,1229,1711,2044,2390,2781,3249,3654,4070,4476,4948,5514,6109
J1201 基督教聖約教會堅樂小學,9008,93,330,670,1012,1380,1628,1930,2253,2560,2902,3233,3522,3833,4180,4613
J1301 路德會陳蒙恩幼稚園,6587,123,291,544,833,1086,1320,1558,1829,2117,2392,2649,2942,3206,3516,4059
J1302 宣道會秀茂坪陳李詠貞幼稚園,5210,75,189,376,577,763,973,1170,1385,1612,1850,2087,2306,2531,2776,3201
J1401 觀塘官立小學(秀明道),7906,118,310,567,874,1162,1405,1677,1946,2225,2540,2873,3219,3489,3888,4267
J1402 中華傳道會基石堂,2398,31,82,176,259,329,402,467,551,631,735,841,910,1010,1110,1232
J1501 秀明小學,9170,104,397,709,1091,1440,1749,2014,2322,2699,3000,3284,3610,3953,4285,4680
